abs_shift_x_mm,abs_shift_y_mm,z_mm
0.0,0.0,3800.0
-1.850290718634839e-07,2.467430558835354e-07,3798.7329109703232
-3.700581437269678e-07,4.934861117670708e-07,3797.4658219406465
-5.561944280765434e-07,7.4170567612346e-07,3796.1987329109697
-1.8484359857395923e-06,2.464957204471028e-06,3794.9316438812934
-3.1406775434030714e-06,4.18820873281917e-06,3793.664554851617
-4.43733168033375e-06,5.917344597513765e-06,3792.3974658219404
-7.935862871382762e-06,1.0582764298803748e-05,3791.1303767922636
-1.1434394062430606e-05,1.5248184000092178e-05,3789.8632877625873
-1.4942814789755953e-05,1.9926791760845023e-05,3788.5961987329106
-2.1737858072780522e-05,2.8988231282907845e-05,3787.3291097032343
-2.8532901355805095e-05,3.804967080497067e-05,3786.0620206735575
-3.534545624726577e-05,4.713446269936852e-05,3784.7949316438812
-4.651840163982275e-05,6.203399530586292e-05,3783.5278426142045
-5.769134703237972e-05,7.693352791235733e-05,3782.2607535845277
-6.889154483460852e-05,9.186940260701601e-05,3780.9936645548514
-8.551497216117827e-05,0.00011403735284589509,3779.726575525175
-0.00010213839948775358,0.00013620530308478153,3778.4594864954984
-0.00011880091245721086,0.0001584253754624689,3777.1923974658216
-0.0001419386135971741,0.00018928034883447336,3775.9253084361453
-0.00016507631473714504,0.0002201353222064881,3774.6582194064686
-0.00018826700097708673,0.00025106095315329045,3773.3911303767923
-0.00021897400211268436,0.0002920098657804193,3772.1240413471155
-0.00024968100324827174,0.00033295877840753456,3770.856952317439
-0.0002804569290456997,0.00037399960459999926,3769.5898632877625
-0.000319779512909971,0.00042643771289395193,3768.3227742580857
-0.00035910209677424235,0.0004788758211879046,3767.0556852284094
-0.0003985115589368454,0.0005314297848801709,3765.788596198733
-0.00044748728706161584,0.0005967407152108545,3764.5215071690563
-0.0004964630151863863,0.0006620516455415382,3763.2544181393796
-0.0005455455633795505,0.0007275050243525592,3761.987329109703
-0.000605203298343366,0.0008070608027165263,3760.7202400800265
-0.0006648610333072013,0.0008866165810805199,3759.45315105035
-0.0007246474923908751,0.0009663440177810924,3758.186062020673
-0.0007960074200670205,0.001061505099470089,3756.9189729909967
-0.0008673673477431897,0.0011566661811591172,3755.6518839613204
-0.0009388798401089001,0.0012520307134591129,3754.3847949316437
-0.001022953491913337,0.0013641460127285197,3753.117705901967
-0.001107027143717746,0.0014762613119978893,3751.8506168722906
-0.0011912791116255369,0.0015886144023333794,3750.583527842614
-0.0012890693867648032,0.0017190213220706027,3749.316438812937
-0.0013868596619040696,0.0018494282418078261,3748.0493497832604
-0.0014848558898194232,0.001980109807128188,3746.782260753584
-0.0015973570775386701,0.0021301342685212336,3745.5151717239078
-0.001709858265257917,0.0022801587299142788,3744.248082694231
-0.0018225949021888437,0.0024304971714695233,3742.9809936645543
-0.0019507927040197323,0.002601453643675381,3741.713904634878
-0.0020789905058506636,0.0027724101158812953,3740.4468156052017
-0.002207455087684445,0.002943722349008934,3739.179726575525
-0.0023523266396932294,0.0031369138788222154,3737.9126375458486
-0.0024971981917020626,0.0033301054086355615,3736.645548516172
-0.0026423696635423503,0.0035236968925479463,3735.3784594864956
-0.0028048835585777797,0.003740415134069276,3734.111370456819
-0.002967397453613155,0.003957133375590534,3732.8442814271425
-0.0031302461921168885,0.00417429814316196,3731.5771923974658
-0.003311362502058048,0.004415823387466289,3730.310103367789
-0.0034924788119992077,0.004657348631770618,3729.0430143381122
-0.003673966647713509,0.004899369319324385,3727.775925308436
-0.003874636945717933,0.0051669705241296675,3726.508836278759
-0.004075307243722357,0.005434571728934949,3725.241747249083
-0.00427638748342173,0.005702719606030845,3723.974658219406
-0.004497554866173244,0.005997654425366346,3722.70756918973
-0.004718722248924832,0.006292589244701946,3721.440480160053
-0.004940339697947737,0.006588124243922882,3720.1733911303763
-0.005182938807904632,0.006911639057797941,3718.9063021007
-0.005425537917861608,0.007235153871673107,3717.6392130710237
-0.005668628902447676,0.0075593246184126155,3716.372124041347
-0.005933585950090551,0.007912654562484961,3715.10503501167
-0.006198542997733337,0.008265984506557189,3713.837945981994
-0.0064640353873602575,0.008620028348806482,3712.570856952317
-0.006752268173439796,0.009004397344050447,3711.3037679226404
-0.0070405009595193345,0.009388766339294412,3710.0366788929637
-0.007329314189239712,0.009773909377429401,3708.7695898632874
-0.00764173212702489,0.010190530159804737,3707.502500833611
-0.007954150064810067,0.010607150942180073,3706.2354118039343
-0.008267195157588772,0.01102460805874904,3704.9683227742576
-0.008604699295114626,0.01147468220886913,3703.7012337445813
-0.008942203432640594,0.011924756358989371,3702.4341447149045
-0.009280383021691109,0.012375731248499316,3701.167055685228
-0.009643866064007032,0.012860449221300084,3699.899966655552
-0.010007349106323078,0.013345167194101013,3698.632877625875
-0.010371557457444865,0.013830852392805341,3697.365788596199
-0.010761903788862378,0.01435139354721348,3696.098699566522
-0.01115225012027976,0.014871934701621447,3694.831610536846
-0.011543373154195118,0.015393511617306989,3693.564521507169
